seed,K,update,eval_return_mean,eval_return_sem,rm_loss,rm_pref_acc
2,200,30,0.6,0.04490887131390719,0.003920107614248991,1.0
2,200,40,0.11666666666666667,0.029428100038830653,0.003920107614248991,1.0
2,200,50,0.325,0.04293585209306999,0.003920107614248991,1.0
2,200,60,0.30833333333333335,0.04233359800530421,0.003920107614248991,1.0
2,200,70,0.24166666666666667,0.03924325011691262,0.003920107614248991,1.0
2,200,80,0.14166666666666666,0.03196600376689893,0.003920107614248991,1.0
2,200,90,0.1,0.02750095491084634,0.003920107614248991,1.0
2,200,100,0.025,0.01431195069769,0.003920107614248991,1.0
2,500,0,0.9916666666666667,0.008333333333333333,0.004172638989984989,1.0
2,500,10,0.9916666666666667,0.008333333333333333,0.004172638989984989,1.0
2,500,20,0.9833333333333333,0.011735491270876319,0.004172638989984989,1.0
2,500,30,0.825,0.0348315273009618,0.004172638989984989,1.0
2,500,40,0.4,0.04490887131390719,0.004172638989984989,1.0
2,500,50,0.23333333333333334,0.03877199986918665,0.004172638989984989,1.0
2,500,60,0.10833333333333334,0.028491075150158012,0.004172638989984989,1.0
2,500,70,0.125,0.030316953129541618,0.004172638989984989,1.0
2,500,80,0.06666666666666667,0.02286647801900118,0.004172638989984989,1.0
2,500,90,0.08333333333333333,0.025336208004377515,0.004172638989984989,1.0
2,500,100,0.03333333333333333,0.016455241616498053,0.004172638989984989,1.0
