experiment,seed,K,beta,epoch,dpo_eval_loss,preference_accuracy,dpo_margin,stochastic_return_mean,stochastic_return_sem
main,2,500,5.0,20,0.00238380441442132,1.0,8.550104141235352,1.0,0.0
main,2,500,5.0,30,0.001087157754227519,1.0,9.533330917358398,1.0,0.0
main,2,500,5.0,40,0.0007288670749403536,1.0,9.941849708557129,0.9833333333333333,0.011735491270876319
main,2,500,5.0,50,0.0005859497468918562,1.0,10.117496490478516,1.0,0.0
main,2,500,5.0,60,0.0005118208355270326,1.0,10.200458526611328,1.0,0.0
main,2,500,5.0,70,0.0004642687563318759,1.0,10.247563362121582,1.0,0.0
main,2,500,5.0,80,0.0004286926123313606,1.0,10.281329154968262,1.0,0.0
main,2,500,5.0,90,0.0003994774888269603,1.0,10.310470581054688,0.975,0.01431195069769
main,2,500,5.0,100,0.00037426219205372036,1.0,10.338242530822754,1.0,0.0
main,2,500,5.0,110,0.00035193184157833457,1.0,10.365800857543945,0.9916666666666667,0.008333333333333333
main,2,500,5.0,120,0.0003318800590932369,1.0,10.393499374389648,1.0,0.0
main,2,500,5.0,130,0.0003137189196422696,1.0,10.421412467956543,0.9916666666666667,0.008333333333333333
main,2,500,5.0,140,0.0002971750218421221,1.0,10.44949722290039,1.0,0.0
main,2,500,5.0,150,0.00028203491820022464,1.0,10.47769832611084,0.975,0.01431195069769
